l1i_size,l1d_size,l1_assoc,l2_size,l2_assoc,line_size,$_cost,misc_cost,total_cost,cpi,CPIvsCOST_weighted
2.0,32.0,2.0,512.0,8.0,128.0,794.0,5.376,799.376,1.0010475839979047,159.60083806719834
64.0,16.0,8.0,128.0,8.0,128.0,802.0,2.816,804.816,1.009735975980528,161.20778878078443
64.0,16.0,2.0,512.0,8.0,128.0,1162.0,11.264,1173.264,1.0044703519910594,233.20357628159286
1.0,1.0,1.0,1024.0,4.0,64.0,1045.0,8.192,1053.192,1.2069917995860164,209.96559343966882
32.0,4.0,8.0,512.0,2.0,16.0,832.5,41.984,874.484,1.079108519841783,167.36328681587344
4.0,4.0,8.0,8.0,2.0,128.0,104.5,0.32,104.82,1.8209382303581236,22.3567505842865
1.0,1.0,4.0,16.0,1.0,32.0,48.25,0.512,48.762,1.2573161834853677,10.655852946788295
1.0,1.0,1.0,16.0,4.0,32.0,37.0,0.256,37.256,1.5414256629171486,8.63314053033372
32.0,32.0,2.0,512.0,2.0,16.0,1032.5,98.304,1130.804,1.0005880399988238,207.30047043199906
16.0,16.0,1.0,512.0,2.0,16.0,772.5,32.768,805.268,1.009943016,155.3079544128
1.0,8.0,1.0,128.0,4.0,64.0,205.0,1.024,206.024,1.0904906638190186,41.87239253105521
32.0,32.0,8.0,512.0,2.0,16.0,1056.5,49.152,1105.652,1.0005878319988244,212.10047026559906
2.0,4.0,8.0,512.0,2.0,128.0,592.5,4.288,596.788,1.044427519911145,119.33554201592892
2.0,4.0,8.0,512.0,8.0,128.0,594.0,1.216,595.216,1.044427519911145,119.63554201592893
4.0,4.0,2.0,8.0,8.0,128.0,82.0,1.04,83.04,1.8470802703058395,17.877664216244675
16.0,16.0,4.0,256.0,1.0,16.0,528.25,16.384,544.634,1.009108984,106.45728718720001
16.0,64.0,2.0,512.0,8.0,128.0,1162.0,11.264,1173.264,1.0003770719992457,233.2003016575994
4.0,2.0,2.0,8.0,8.0,128.0,66.0,0.784,66.784,1.89634510220731,14.71707608176585
16.0,16.0,2.0,128.0,4.0,16.0,393.0,36.864000000000004,429.86400000000003,1.007965944,79.40637275520001
2.0,2.0,2.0,8.0,8.0,128.0,50.0,0.528,50.528,1.90019506219961,11.520156049759688
4.0,2.0,2.0,8.0,2.0,128.0,64.5,0.8320000000000001,65.332,2.1136767817726465,14.590941425418118
16.0,16.0,8.0,128.0,8.0,512.0,418.0,0.32,418.32,1.0093099359813802,84.40744794878512
128.0,8.0,4.0,1024.0,4.0,32.0,2129.0,51.2,2180.2,1.0644140958711719,426.65153127669697
