l1i_size,l1d_size,l1_assoc,l2_size,l2_assoc,line_size,$_cost,misc_cost,total_cost,cpi,CPIvsCOST_weighted
16.0,16.0,1.0,256.0,8.0,16.0,518.0,4.096,522.096,3.113254904,106.0906039232
2.0,2.0,8.0,512.0,8.0,16.0,578.0,9.216000000000001,587.216,3.325479712,118.26038376960001
16.0,16.0,2.0,128.0,2.0,128.0,392.5,5.12,397.62,2.682659128,80.6461273024
2.0,2.0,2.0,512.0,2.0,16.0,552.5,36.864000000000004,589.364,3.3454648,113.17637184
32.0,4.0,8.0,512.0,2.0,16.0,832.5,41.984,874.484,2.964773096,168.8718184768
2.0,4.0,8.0,8.0,2.0,128.0,88.5,0.256,88.756,4.707415224,21.4659321792
16.0,16.0,4.0,64.0,2.0,16.0,336.5,20.48,356.98,3.561853672,70.1494829376
1.0,1.0,1.0,1024.0,1.0,64.0,1044.25,0.0,1044.25,2.675487312,210.99038984960004
16.0,16.0,1.0,64.0,1.0,16.0,324.25,0.0,324.25,4.138676664,68.16094133120001
32.0,4.0,2.0,512.0,8.0,16.0,810.0,45.056000000000004,855.056,2.9895653920000003,164.3916523136
2.0,32.0,2.0,512.0,8.0,128.0,794.0,5.376,799.376,1.949821512,160.35985720960002
4.0,2.0,2.0,8.0,8.0,16.0,66.0,6.272,72.272,5.643377448,17.7147019584
128.0,8.0,1.0,1024.0,4.0,32.0,2117.0,16.384,2133.384,2.759411,425.6075288
8.0,8.0,4.0,16.0,1.0,32.0,160.25,4.096,164.346,4.5646459759999995,35.701716780800005
16.0,64.0,2.0,128.0,8.0,128.0,778.0,10.496,788.496,2.521895584,157.61751646720003
4.0,4.0,2.0,8.0,8.0,128.0,82.0,1.04,83.04,4.488002792,19.9904022336
8.0,8.0,4.0,16.0,4.0,32.0,161.0,4.352,165.352,4.4761040560000005,35.7808832448
64.0,16.0,2.0,512.0,8.0,128.0,1162.0,11.264,1173.264,1.8433641120000002,233.8746912896
1.0,1.0,1.0,4.0,4.0,64.0,25.0,0.032,25.032,7.998786992,11.399029593600002
4.0,2.0,2.0,8.0,2.0,16.0,64.5,6.656000000000001,71.156,6.132763208,17.8062105664
8.0,8.0,1.0,128.0,4.0,32.0,261.0,2.048,263.048,3.292451456,54.8339611648
