l1i_size,l1d_size,l1_assoc,l2_size,l2_assoc,line_size,$_cost,misc_cost,total_cost,cpi,CPIvsCOST_weighted
2.0,32.0,2.0,512.0,2.0,16.0,792.5,67.584,860.0840000000001,7.003953848,164.1031630784
1.0,128.0,1.0,1024.0,4.0,32.0,2061.0,16.384,2077.384,4.131996272,415.50559701760005
4.0,2.0,2.0,512.0,8.0,16.0,570.0,14.336,584.336,6.990246176,119.5921969408
2.0,4.0,8.0,8.0,8.0,128.0,90.0,0.20800000000000002,90.208,3.958050384,21.1664403072
1.0,1.0,1.0,1024.0,1.0,64.0,1044.25,0.0,1044.25,2.8772898959999997,211.15183191680003
8.0,8.0,4.0,16.0,4.0,32.0,161.0,4.352,165.352,5.42287984,36.538303872
1.0,1.0,4.0,1024.0,1.0,32.0,1056.25,0.512,1056.762,4.262380576,214.6599044608
16.0,64.0,2.0,512.0,8.0,128.0,1162.0,11.264,1173.264,1.74865804,233.798926432
4.0,2.0,2.0,512.0,2.0,128.0,568.5,4.864,573.364,1.937837448,115.2502699584
2.0,4.0,8.0,512.0,8.0,128.0,594.0,1.216,595.216,1.863511664,120.29080933120001
1.0,8.0,1.0,16.0,1.0,32.0,92.25,0.0,92.25,6.573868392,23.7090947136
1.0,8.0,4.0,128.0,1.0,32.0,216.25,2.3040000000000003,218.554,4.300207503999999,46.6901660032
2.0,2.0,2.0,512.0,8.0,16.0,554.0,12.288,566.288,7.09476968,116.47581574400002
16.0,64.0,8.0,128.0,2.0,128.0,800.5,3.584,804.084,1.757989152,161.50639132160003
2.0,32.0,8.0,512.0,2.0,16.0,816.5,41.472,857.972,6.98934392,168.891475136
16.0,16.0,2.0,256.0,2.0,16.0,520.5,49.152,569.652,6.705363992,109.4642911936
32.0,2.0,2.0,512.0,2.0,16.0,792.5,67.584,860.0840000000001,6.71727888,163.873823104
16.0,16.0,8.0,512.0,8.0,128.0,802.0,2.048,804.048,1.758981632,161.8071853056
1.0,8.0,1.0,128.0,1.0,32.0,204.25,0.0,204.25,4.365531912,44.3424255296
8.0,1.0,1.0,16.0,4.0,32.0,93.0,0.256,93.256,6.123503304,23.4988026432
2.0,32.0,2.0,512.0,8.0,128.0,794.0,5.376,799.376,1.83095384,160.26476307200002
2.0,2.0,8.0,8.0,8.0,128.0,74.0,0.14400000000000002,74.144,4.391159408,18.312927526400003
8.0,1.0,4.0,128.0,4.0,32.0,217.0,4.352,221.352,4.072433232,46.65794658560001
2.0,2.0,2.0,512.0,8.0,128.0,554.0,1.536,555.536,1.962764928,112.3702119424
16.0,16.0,2.0,128.0,1.0,16.0,392.25,32.768,425.01800000000003,6.786821272,83.8794570176
16.0,16.0,2.0,512.0,2.0,128.0,776.5,8.192,784.692,1.768310272,156.7146482176
64.0,16.0,2.0,128.0,8.0,128.0,778.0,10.496,788.496,1.739592688,156.99167415040003
16.0,16.0,2.0,512.0,4.0,16.0,777.0,49.152,826.152,6.696610232,160.7572881856
2.0,32.0,8.0,512.0,8.0,16.0,818.0,16.896,834.896,6.988266,169.19061280000003
16.0,16.0,1.0,256.0,1.0,16.0,516.25,0.0,516.25,6.786109888,108.6788879104
1.0,8.0,1.0,1024.0,1.0,32.0,1100.25,0.0,1100.25,4.176645032,223.39131602560002
16.0,16.0,1.0,512.0,4.0,16.0,773.0,16.384,789.384,6.744515008,159.99561200640002
16.0,16.0,1.0,128.0,1.0,16.0,388.25,0.0,388.25,6.871159008,83.14692720640001
16.0,16.0,2.0,64.0,8.0,128.0,330.0,4.224,334.224,1.8820662719999999,67.5056530176
