l1i_size,l1d_size,l1_assoc,l2_size,l2_assoc,line_size,$_cost,misc_cost,total_cost,cpi,CPIvsCOST_weighted
2.0,2.0,8.0,512.0,2.0,16.0,576.5,33.792,610.292,5.57859928,119.762879424
4.0,4.0,2.0,8.0,2.0,16.0,80.5,8.704,89.20400000000001,5.594492592,20.5755940736
16.0,64.0,2.0,512.0,8.0,128.0,1162.0,11.264,1173.264,1.638634518722731,233.7109076149782
8.0,8.0,1.0,1024.0,1.0,32.0,1156.25,0.0,1156.25,3.334235312,233.9173882496
1.0,128.0,4.0,1024.0,4.0,32.0,2073.0,49.408,2122.408,3.326755784,417.2614046272
128.0,128.0,4.0,1024.0,1.0,32.0,3088.25,65.536,3153.786,3.327596192,620.3120769536001
32.0,32.0,2.0,512.0,2.0,16.0,1032.5,98.304,1130.804,5.578227536,210.9625820288
1.0,1.0,4.0,4.0,4.0,64.0,37.0,0.28800000000000003,37.288,2.2043908080000003,9.163512646400001
2.0,4.0,8.0,8.0,8.0,16.0,90.0,1.6640000000000001,91.664,5.584857576,22.4678860608
1.0,8.0,1.0,1024.0,1.0,32.0,1100.25,0.0,1100.25,3.334274968,222.7174199744
8.0,1.0,4.0,1024.0,1.0,32.0,1112.25,2.3040000000000003,1114.554,3.32745172,225.111961376
16.0,16.0,2.0,512.0,8.0,128.0,778.0,5.12,783.12,1.6386514547226971,156.91092116377817
2.0,4.0,2.0,8.0,8.0,16.0,66.0,6.272,72.272,5.594783056,17.675826444800002
16.0,16.0,8.0,512.0,2.0,512.0,800.5,1.28,801.78,1.1672745756654508,161.03381966053237
2.0,4.0,2.0,8.0,2.0,16.0,64.5,6.656000000000001,71.156,5.594512016,17.3756096128
4.0,32.0,8.0,512.0,8.0,128.0,834.0,2.176,836.176,1.638631696,168.1109053568
16.0,64.0,2.0,128.0,8.0,128.0,778.0,10.496,788.496,1.6393397987213203,156.9114718389771
128.0,8.0,1.0,1024.0,1.0,32.0,2116.25,0.0,2116.25,3.334220352,425.9173762816
64.0,16.0,8.0,128.0,2.0,128.0,800.5,3.584,804.084,1.6393327827213344,161.41146622617708
32.0,32.0,2.0,512.0,2.0,128.0,1032.5,12.288,1044.788,1.638835904,207.8110687232
2.0,32.0,2.0,512.0,2.0,128.0,792.5,8.448,800.948,1.638874168,159.8110993344
2.0,32.0,8.0,512.0,2.0,16.0,816.5,41.472,857.972,5.578239824,167.7625918592
128.0,8.0,4.0,1024.0,4.0,32.0,2129.0,51.2,2180.2,3.326847448,428.4614779584
4.0,2.0,2.0,512.0,8.0,16.0,570.0,14.336,584.336,5.598152856,118.4785222848
4.0,2.0,8.0,512.0,8.0,128.0,594.0,1.216,595.216,1.638642912,120.1109143296
2.0,2.0,8.0,512.0,2.0,128.0,576.5,4.224,580.724,1.6388522079999999,116.6110817664
4.0,2.0,8.0,512.0,8.0,16.0,594.0,9.728,603.728,5.578593512,123.2628748096
32.0,4.0,8.0,512.0,2.0,128.0,832.5,5.248,837.748,1.6388444,167.81107552
128.0,128.0,1.0,1024.0,1.0,32.0,3076.25,0.0,3076.25,3.328439424,617.9127515392
16.0,64.0,8.0,512.0,8.0,128.0,1186.0,3.584,1189.584,1.6386348227227303,238.5109078581782
8.0,1.0,1.0,128.0,1.0,32.0,204.25,0.0,204.25,4.186604392,44.1992835136
32.0,4.0,2.0,512.0,2.0,128.0,808.5,8.704,817.204,1.71505652,163.07204521600002
16.0,16.0,8.0,512.0,2.0,128.0,800.5,5.12,805.62,1.6388356867223286,161.4110685493779
2.0,2.0,8.0,512.0,8.0,16.0,578.0,9.216000000000001,587.216,5.57859928,120.062879424
16.0,16.0,2.0,256.0,2.0,16.0,520.5,49.152,569.652,16.18725274725275,117.04980219780221
16.0,16.0,8.0,128.0,8.0,512.0,418.0,0.32,418.32,1.1673476956653046,84.53387815653225
8.0,1.0,1.0,1024.0,1.0,32.0,1100.25,0.0,1100.25,4.178307272,223.3926458176
2.0,2.0,2.0,8.0,2.0,16.0,48.5,4.6080000000000005,53.108000000000004,5.60444572,14.183556576
2.0,4.0,8.0,512.0,2.0,16.0,592.5,34.304,626.804,5.578598376,122.9628787008
1.0,8.0,1.0,128.0,4.0,64.0,205.0,1.024,206.024,2.217076864,42.7736614912
32.0,2.0,8.0,512.0,8.0,128.0,818.0,2.112,820.112,1.63863892,164.910911136
16.0,16.0,2.0,64.0,2.0,512.0,328.5,1.1520000000000001,329.652,1.1675068236649864,66.634005458932
16.0,16.0,1.0,128.0,4.0,64.0,389.0,1.024,390.024,6.452747252747253,82.9621978021978
1.0,8.0,4.0,16.0,4.0,64.0,105.0,1.2800000000000002,106.28,2.20390368,22.763122944
32.0,32.0,8.0,512.0,8.0,16.0,1058.0,24.576,1082.576,5.578222672,216.0625781376
16.0,16.0,2.0,128.0,8.0,128.0,394.0,4.352,398.352,1.639332414721335,80.11146593177708
16.0,64.0,8.0,128.0,2.0,128.0,800.5,3.584,804.084,1.6393421827213155,161.41147374617708
4.0,4.0,8.0,8.0,8.0,128.0,106.0,0.272,106.272,1.639528872,22.5116230976
1.0,1.0,4.0,128.0,1.0,64.0,160.25,0.256,160.506,2.203507928,33.8128063424
64.0,64.0,8.0,512.0,2.0,128.0,1568.5,8.192,1576.692,1.638853038722294,315.01108243097786
64.0,16.0,2.0,128.0,2.0,128.0,776.5,11.264,787.764,1.6393457427213085,156.61147659417705
128.0,1.0,1.0,1024.0,1.0,32.0,2060.25,0.0,2060.25,4.178292312,415.39263384960003
4.0,4.0,8.0,512.0,8.0,128.0,610.0,1.28,611.28,1.638642152,123.3109137216
32.0,4.0,8.0,512.0,8.0,16.0,834.0,17.408,851.408,5.578585064,171.2628680512
1.0,1.0,1.0,128.0,4.0,64.0,149.0,1.024,150.024,3.089299128,32.2714393024
16.0,16.0,1.0,256.0,4.0,16.0,517.0,8.192,525.192,16.2021978021978,116.36175824175825
16.0,16.0,1.0,512.0,2.0,16.0,772.5,32.768,805.268,16.2021978021978,167.46175824175825
4.0,4.0,2.0,512.0,2.0,128.0,584.5,5.12,589.62,1.7150754400000001,118.27206035200001
32.0,4.0,8.0,512.0,2.0,16.0,832.5,41.984,874.484,5.578585064,170.9628680512
2.0,32.0,8.0,512.0,8.0,128.0,818.0,2.112,820.112,1.638634752,164.91090780160002
64.0,64.0,8.0,512.0,8.0,128.0,1570.0,5.12,1575.12,1.638633038722734,315.3109064309782
64.0,16.0,8.0,128.0,8.0,128.0,802.0,2.816,804.816,1.639316622721367,161.7114532981771
4.0,4.0,2.0,512.0,8.0,128.0,586.0,2.048,588.048,1.71486552,118.571892416
1.0,1.0,1.0,16.0,4.0,32.0,37.0,0.256,37.256,4.1825642080000005,10.746051366400001
16.0,16.0,2.0,512.0,1.0,16.0,776.25,32.768,809.018,16.18725274725275,168.1998021978022
16.0,16.0,1.0,64.0,8.0,16.0,326.0,1.024,327.024,5.584742896,69.6677943168
16.0,16.0,4.0,512.0,4.0,16.0,785.0,32.768,817.768,16.176703296703295,169.94136263736263
8.0,1.0,4.0,128.0,1.0,32.0,216.25,2.3040000000000003,218.554,3.33033012,45.914264096
8.0,8.0,1.0,16.0,1.0,32.0,148.25,0.0,148.25,3.361165712,32.338932569600004
1.0,1.0,1.0,128.0,4.0,32.0,149.0,2.048,151.048,4.179820368,33.1438562944
1.0,1.0,1.0,1024.0,1.0,64.0,1044.25,0.0,1044.25,3.088958648,211.32116691840002
32.0,4.0,2.0,512.0,8.0,128.0,810.0,5.632000000000001,815.632,1.71484788,163.371878304
1.0,8.0,1.0,16.0,4.0,32.0,93.0,0.256,93.256,3.339194328,21.271355462400003
1.0,1.0,1.0,128.0,1.0,64.0,148.25,0.0,148.25,3.101686328,32.131349062400005
2.0,2.0,8.0,512.0,8.0,128.0,578.0,1.1520000000000001,579.152,1.638645968,116.91091677440001
4.0,2.0,2.0,8.0,8.0,128.0,66.0,0.784,66.784,1.795241064,14.6361928512
8.0,1.0,1.0,16.0,4.0,32.0,93.0,0.256,93.256,4.182377512,21.9459020096
4.0,4.0,2.0,8.0,2.0,128.0,80.5,1.088,81.588,1.7174052,17.473924160000003
16.0,16.0,1.0,64.0,4.0,64.0,325.0,0.512,325.512,6.452747252747253,70.1621978021978
8.0,1.0,4.0,16.0,4.0,32.0,105.0,2.5600000000000005,107.56,3.33224612,23.665796896
16.0,16.0,1.0,256.0,1.0,64.0,516.25,0.0,516.25,6.452747252747253,108.4121978021978
16.0,16.0,1.0,512.0,8.0,16.0,774.0,8.192,782.192,5.579800496,159.26384039680002
1.0,8.0,1.0,16.0,1.0,32.0,92.25,0.0,92.25,3.361368408,21.1390947264
2.0,32.0,2.0,512.0,2.0,16.0,792.5,67.584,860.0840000000001,5.578250144,162.9626001152
8.0,8.0,1.0,128.0,4.0,32.0,261.0,2.048,263.048,3.336055472,54.868844377600006
16.0,16.0,2.0,64.0,4.0,16.0,329.0,34.816,363.81600000000003,16.18725274725275,78.7498021978022
2.0,4.0,2.0,512.0,8.0,16.0,570.0,14.336,584.336,5.588381616,118.4707052928
